AdjustedQueryTerm,PreferredTerm,SemanticType,ui,,,
neurosciences,Neuroscience discipline,Biomedical Occupation or Discipline,C0027910,,,
neuroscience research,Neurosciences Research,Research Activity,C1518301,,,
neuroendocrine,Neurosecretory Systems,Body System,C0027912,,,
neurostimulation,Neurostimulation procedure,Diagnostic Procedure,C0521307,,,
neurosurgeon,Neurosurgeon,Professional or Occupational Group,C0237427,,,
neuro surgery,Neurosurgical Procedures,Therapeutic or Preventive Procedure,C0524850,,,
neurosyphilis,Neurosyphilis,Disease or Syndrome,C0027927,,,
neurosis,Neurotic Disorders,Mental or Behavioral Dysfunction,C0027932,,,
neurotic disorder,Neurotic Disorders,Mental or Behavioral Dysfunction,C0027932,,,
neuroticism,NEUROTICISM,Mental or Behavioral Dysfunction,C1842981,,,
neurotic,Neurotics,Patient or Disabled Group,C0260048,,,
neurotoxicity,Neurotoxicity Syndromes,Injury or Poisoning,C0235032,,,
neurotransmitter,Neurotransmitters,Biologically Active Substance,C0027908,,,
neurotransmitters,Neurotransmitters,Biologically Active Substance,C0027908,,,
neurotrophic keratitis,Neurotrophic keratitis,Disease or Syndrome,C0339296,,,
neutral zone,Neutral zone,Therapeutic or Preventive Procedure,C0445110,,,
neuts,Neutralization Tests,Laboratory Procedure,C0027944,,,
neutron,Neutrons,Substance,C0027946,,,
neutrophil,neutrophil,Cell,C0027950,,,
neutrophiles,neutrophil,Cell,C0027950,,,
neutrophils,neutrophil,Cell,C0027950,,,
pmn,neutrophil,Cell,C0027950,,,
neutrophile,neutrophil,Cell,C0027950,,,
neutrophil count,Neutrophil count (procedure),Laboratory Procedure,C0200633,,,
neutrophil extracellular traps,Neutrophil Extracellular Traps,Cell Component,C3850088,,,
ncr,"Neutrophil migration, function",Cell Function,C0312860,,,
neutrophilia,Neutrophilia (finding),Finding,C0151683,,,
n5,Nevada <Geographic Area>,Geographic Area,C0027951,,,
nv,Nevada <Geographic Area>,Geographic Area,C0027951,,,
nevus melanoma,Nevi and Melanomas,Neoplastic Process,C0206769,,,
nevirapine,Nevirapine,Organic Chemical|Pharmacologic Substance,C0132326,,,
moles,Nevus,Neoplastic Process,C0027960,,,
naevus,Nevus,Neoplastic Process,C0027960,,,
nevus,Nevus,Neoplastic Process,C0027960,,,
nevi,Nevus,Neoplastic Process,C0027960,,,
mol,Nevus,Neoplastic Process,C0027960,,,
blue naevi,"Nevus, Blue",Neoplastic Process,C0206736,,,
blue naevus,"Nevus, Blue",Neoplastic Process,C0206736,,,
new,New,Qualitative Concept,C0205314,,,
novel,New,Qualitative Concept,C0205314,,,
nc,New Caledonia,Geographic Area,C0027964,,,
ncl,New Caledonia,Geographic Area,C0027964,,,
new england,New England,Geographic Area,C0027965,,,
the new england,New England,Geographic Area,C0027965,,,
new guinea,New Guinea,Geographic Area,C0027966,,,
new medications,New medications,Pharmacologic Substance,C1718097,,,
new york,New York (geographic location),Geographic Area,C0027976,,,
new zealand,New Zealand,Geographic Area,C0027978,,,
newborn complications,Newborn complication:Finding:Point in time:^Patient:Nominal,Clinical Attribute,C1148100,,,
newborn hearing screening,Newborn hearing screen,Diagnostic Procedure,C2599434,,,
news,News [Publication Type],Intellectual Product,C0282425,,,
newsletter,Newsletters,Intellectual Product|Manufactured Object,C0027988,,,
newspaper,Newspapers,Intellectual Product|Manufactured Object,C0027989,,,
pascal,newton per square metre,Quantitative Concept,C0439473,,,
nexavar,Nexavar,Organic Chemical|Pharmacologic Substance,C1677799,,,
nexium,Nexium,Organic Chemical|Pharmacologic Substance,C0939400,,,
nexplanon,Nexplanon,Organic Chemical|Pharmacologic Substance,C3159354,,,
nf-kb,NF-kappa B,"Immunologic Factor|Amino Acid, Peptide, or Protein",C0079904,,,
nfkb,NF-kappa B,"Immunologic Factor|Amino Acid, Peptide, or Protein",C0079904,,,
nf 1 gene,NF1 gene,Gene or Genome,C0085113,,,
neurofascin,NFASC gene,Gene or Genome,C1826398,,,
nfat5,NFAT5 gene,Gene or Genome,C1417693,,,
nfat3,NFATC4 gene,Gene or Genome,C1417697,,,
nrf1,NFE2L1 gene,Gene or Genome,C1417700,,,
nfe2l2,NFE2L2 gene,Gene or Genome,C1417701,,,
nfib,NFIB gene,Gene or Genome,C1417704,,,
ikbe,NFKBIE gene,Gene or Genome,C1417710,,,
nhi,NHIS,Health Care Activity,C3655761,,,
nhlh2,NHLH2 gene,Gene or Genome,C1417723,,,
nia,Nia (fungus),Fungus,C1074110,,,
niacin,Niacin,Organic Chemical|Vitamin|Pharmacologic Substance,C0027996,,,
nicotinamide,Niacin,Organic Chemical|Vitamin|Pharmacologic Substance,C0027996,,,
nicotinic acid,Niacin,Organic Chemical|Vitamin|Pharmacologic Substance,C0027996,,,
vitamin b3,Niacin,Organic Chemical|Vitamin|Pharmacologic Substance,C0027996,,,
niacin toxicity,niacin toxicity,Injury or Poisoning,C2103611,,,
niacinamide,Niacinamide,Organic Chemical|Vitamin|Pharmacologic Substance,C0028027,,,
nibea_microgenys,Nibea microgenys,Fish,C4104392,,,
n1,Nicaragua,Geographic Area,C0028002,,,
nic,Nicaragua,Geographic Area,C0028002,,,
nicaragua,Nicaragua,Geographic Area,C0028002,,,
ni,Nicaragua,Geographic Area,C0028002,,,
nicardipine,Nicardipine,Organic Chemical|Pharmacologic Substance,C0028005,,,
nicergolin,Nicergoline,Organic Chemical|Pharmacologic Substance,C0028008,,,
nicergoline,Nicergoline,Organic Chemical|Pharmacologic Substance,C0028008,,,
nickel,nickel,"Biologically Active Substance|Element, Ion, or Isotope",C0028013,,,
nickel chloride,nickel chloride,Hazardous or Poisonous Substance|Inorganic Chemical,C0068681,,,
nickel sulfate hexahydrate,NICKEL SULFATE HEXAHYDRATE,Inorganic Chemical,C0891863,,,
nickel sulphate-hexahydrate,NICKEL SULFATE HEXAHYDRATE,Inorganic Chemical,C0891863,,,
niclosamide,Niclosamide,Organic Chemical|Pharmacologic Substance,C0028017,,,
nicoderm,Nicoderm,Organic Chemical|Pharmacologic Substance,C0701369,,,
ncbr,Nicolaides Baraitser syndrome,Disease or Syndrome,C1303073,,,
nicolaides-baraitser syndrome,Nicolaides Baraitser syndrome,Disease or Syndrome,C1303073,,,
nicorandil,Nicorandil,Organic Chemical|Pharmacologic Substance,C0068700,,,
nicosulfuron,nicosulfuron,Organic Chemical|Hazardous or Poisonous Substance,C0962422,,,
nicotiana benthamiana,Nicotiana benthamiana,Plant,C0996935,,,
nicotiana glutinosa,Nicotiana glutinosa,Plant,C1005893,,,
dpn,Nicotinamide adenine dinucleotide (NAD),"Nucleic Acid, Nucleoside, or Nucleotide|Biologically Active Substance|Pharmacologic Substance",C0027270,,,
nad,Nicotinamide adenine dinucleotide (NAD),"Nucleic Acid, Nucleoside, or Nucleotide|Biologically Active Substance|Pharmacologic Substance",C0027270,,,
nicotinamide zcf,Nicotinamide ZCF,Organic Chemical|Pharmacologic Substance,C2370047,,,
nicotinamide ribose,nicotinamide-beta-riboside,Organic Chemical,C0068711,,,
nicotinamide riboside,nicotinamide-beta-riboside,Organic Chemical,C0068711,,,
nicotine,Nicotine,Organic Chemical|Hazardous or Poisonous Substance,C0028040,,,
nicotine gum,Nicotine Chewing Gum,Clinical Drug,C0599654,,,
nicotine addiction,Nicotine Dependence,Mental or Behavioral Dysfunction,C0028043,,,
nicotine polacrilex,nicotine polacrilex,Organic Chemical|Pharmacologic Substance,C0068722,,,
nicotine replacement therapy,Nicotine replacement therapy,Therapeutic or Preventive Procedure,C1278444,,,
nrt,Nicotine replacement therapy,Therapeutic or Preventive Procedure,C1278444,,,
nicotine patch,Nicotine Transdermal Patch,Clinical Drug,C0358855,,,
neimann picks disease,Niemann-Pick Diseases,Disease or Syndrome,C0028064,,,
niemann pick,Niemann-Pick Diseases,Disease or Syndrome,C0028064,,,
niemann-pick,Niemann-Pick Diseases,Disease or Syndrome,C0028064,,,
niemann-pick disease,Niemann-Pick Diseases,Disease or Syndrome,C0028064,,,
nifedipina,Nifedipine,Organic Chemical|Pharmacologic Substance,C0028066,,,
nifedipine,Nifedipine,Organic Chemical|Pharmacologic Substance,C0028066,,,
nifekalant,nifekalant,Organic Chemical|Pharmacologic Substance,C2350374,,,
black cumin,Nigella sativa,Plant,C1140702,,,
nigella sativa,Nigella sativa,Plant,C1140702,,,
black seeds,Nigella sativa,Plant,C1140702,,,
black cumin seed oil,NIGELLA SATIVA SEED OIL,Food,C3651714,,,
nigeria,Nigeria,Geographic Area,C0028075,,,
night blindness,Night Blindness,Disease or Syndrome,C0028077,,,
syndrome night eating,Night Eating Syndrome,Mental or Behavioral Dysfunction,C2203937,,,
night nurse,Night Nurse,Organic Chemical|Pharmacologic Substance,C0966379,,,
night shift,night shift,Temporal Concept,C1660631,,,
night splint,Night splinting,Therapeutic or Preventive Procedure,C0556894,,,
night sweat,Night sweats,Sign or Symptom,C0028081,,,
night sweats,Night sweats,Sign or Symptom,C0028081,,,
childhood night terrors,"Night Terrors, Childhood",Mental or Behavioral Dysfunction,C0751765,,,
nocturnal,Night time,Temporal Concept,C0240526,,,
night,Night time,Temporal Concept,C0240526,,,
nightingale,nightingale,Bird,C0326597,,,
nightmare,Nightmares,Sign or Symptom,C0028084,,,
nightmares,Nightmares,Sign or Symptom,C0028084,,,
nighttime sleep aid,Nighttime Sleep Aid,Pharmacologic Substance,C4530771,,,
clinical center,NIH Clinical Center,Organization,C2347782,,,
nih clinical center,NIH Clinical Center,Organization,C2347782,,,
program announcement,NIH Program Announcements,Intellectual Product,C0681477,,,
program announcements,NIH Program Announcements,Intellectual Product,C0681477,,,
rmi,NIH Roadmap Initiative tag,Intellectual Product,C1654610,,,
nihss,NIHSS,Intellectual Product,C3476804,,,
bbs,Nijmegen Breakage Syndrome,Disease or Syndrome,C0398791,,,
nbs,Nijmegen Breakage Syndrome,Disease or Syndrome,C0398791,,,
nilotinib,nilotinib,Organic Chemical|Pharmacologic Substance,C1721377,,,
nimesulide,nimesulide,Organic Chemical|Pharmacologic Substance,C0132515,,,
nimodipine,Nimodipine,Organic Chemical|Pharmacologic Substance,C0028094,,,
nlp,NINL gene,Gene or Genome,C1865069,,,
nipah virus,Nipah Virus,Virus,C0751673,,,
nipah viruses,Nipah Virus,Virus,C0751673,,,
nipha,Niphon,Fish,C1463192,,,
nipple discharge,nipple discharge,Sign or Symptom,C0149741,,,
nipple reconstruction,Nipple reconstruction (procedure),Therapeutic or Preventive Procedure,C0191926,,,
nipple shield,Nipple shield,Medical Device,C0183252,,,
nipple shields,Nipple shield,Medical Device,C0183252,,,
nipple,Nipples,"Body Part, Organ, or Organ Component",C0028109,,,
niravam,Niravam,Organic Chemical|Pharmacologic Substance,C1616710,,,
nisin,Nisin,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0028115,,,
nitazoxanida,nitazoxanide,Organic Chemical|Pharmacologic Substance,C0068788,,,
nitazoxanide,nitazoxanide,Organic Chemical|Pharmacologic Substance,C0068788,,,
nitinol,nitinol,Biomedical or Dental Material|Inorganic Chemical,C0068790,,,
nitrate,Nitrates,Chemical Viewed Structurally,C0028125,,,
nitrates,Nitrates,Chemical Viewed Structurally,C0028125,,,
nitrazepam,Nitrazepam,Organic Chemical|Pharmacologic Substance,C0028126,,,
nitric oxide,Nitric Oxide,Biologically Active Substance|Pharmacologic Substance|Inorganic Chemical,C0028128,,,
nitrogen oxide,Nitric Oxide,Biologically Active Substance|Pharmacologic Substance|Inorganic Chemical,C0028128,,,
no,Nitric Oxide,Biologically Active Substance|Pharmacologic Substance|Inorganic Chemical,C0028128,,,
oxyde nitrique,Nitric Oxide,Organic Chemical|Pharmacologic Substance,C0028128,,,
nitrilase,Nitrilase,"Amino Acid, Peptide, or Protein|Enzyme",C0068812,,,
nitrite,Nitrites,Chemical Viewed Structurally,C0028137,,,
nitrofurantoin,Nitrofurantoin,Organic Chemical|Pharmacologic Substance,C0028156,,,
nitrofurantoina,Nitrofurantoin,Organic Chemical|Pharmacologic Substance,C0028156,,,
nitrofurantoin monohydrate,"Nitrofurantoin, Monohydrate",Organic Chemical|Antibiotic,C0724647,,,
nitrofural,Nitrofurazone,Organic Chemical|Pharmacologic Substance,C0028157,,,
nitrogen dioxide,Nitrogen Dioxide,Hazardous or Poisonous Substance|Inorganic Chemical,C0028160,,,
nitrogen triiodide,nitrogen triiodide,Pharmacologic Substance|Inorganic Chemical,C0622700,,,
glyceryl trinitrate,Nitroglycerin,Organic Chemical|Pharmacologic Substance,C0017887,,,
ng,Nitroglycerin,Organic Chemical|Pharmacologic Substance,C0017887,,,
ngs,Nitroglycerin,Organic Chemical|Pharmacologic Substance,C0017887,,,
nitroglycerin,Nitroglycerin,Organic Chemical|Pharmacologic Substance,C0017887,,,
nitroglycerine,Nitroglycerin,Organic Chemical|Pharmacologic Substance,C0017887,,,
nice,Nitroglycerin/Sodium Citrate/Ethanol Solution,Organic Chemical|Antibiotic,C4087029,,,
nitrostat,Nitrostat,Organic Chemical|Pharmacologic Substance,C0699241,,,
laughing gas,Nitrous Oxide,Biologically Active Substance|Pharmacologic Substance|Inorganic Chemical,C0028215,,,
nitrous oxide,Nitrous Oxide,Biologically Active Substance|Pharmacologic Substance|Inorganic Chemical,C0028215,,,
n2o,Nitrous Oxide,Biologically Active Substance|Pharmacologic Substance|Inorganic Chemical,C0028215,,,
nitrous oxide abuse,nitrous oxide abuse,Mental or Behavioral Dysfunction,C2063168,,,
nitrous oxide oxygen,nitrous oxide-oxygen,Pharmacologic Substance|Inorganic Chemical,C1964966,,,
nitroxolin,nitroxoline,Organic Chemical|Pharmacologic Substance,C0068881,,,
niu,Niue,Geographic Area,C0028219,,,
nivo,nivolumab,"Immunologic Factor|Amino Acid, Peptide, or Protein|Pharmacologic Substance",C3657270,,,
nivolumab,nivolumab,"Immunologic Factor|Amino Acid, Peptide, or Protein|Pharmacologic Substance",C3657270,,,
nivolumab injection,nivolumab Injection,Clinical Drug,C4034122,,,
nizatidine,Nizatidine,Organic Chemical|Pharmacologic Substance,C0085154,,,
nkg7,NKG7 gene,Gene or Genome,C1417733,,,
nkila,NKILA gene,Gene or Genome,C3890690,,,
nktr 102,NKTR-102,Organic Chemical|Pharmacologic Substance,C2830036,,,
nktr-102,NKTR-102,Organic Chemical|Pharmacologic Substance,C2830036,,,
nlg-919,NLG919.00,Immunologic Factor|Pharmacologic Substance,C3827063,,,
nlm classification,NLM Classification,Product-LO,,,,
nlrp12,NLRP12 gene,Gene or Genome,C1864814,,,
nlrp3,NLRP3 gene,Gene or Genome,C1424250,,,
nm23,NME1 gene,Gene or Genome,C0812204,,,
nm23-h2,NME2 gene,Gene or Genome,C1417741,,,
nmi,NMI gene,Gene or Genome,C1334885,,,
nmt2,"NMT2 protein, human","Amino Acid, Peptide, or Protein|Enzyme",C1334858,,,
nnt,NNT gene,Gene or Genome,C1417750,,,
clinical research and trials,No charge for medical care due to enrollment in research/clinical trial,Research Activity,C3496106,,,
ned,No Evidence of Disease,Finding,C1518340,,,
no evidence of disease,No Evidence of Disease,Finding,C1518340,,,
no motor symptoms,No motor symptom,Finding,C0426979,,,
no period,No periods,Finding,C3843331,,,
normal swallowing,No problem swallowing,Finding,C0426600,,,
no scar,No scarring,Finding,C1851824,,,
no change,No status change,Finding,C0442739,,,
nt,No treatment required for,Qualitative Concept,C0332126,,,
noael,No-Observed-Adverse-Effect Level,Diagnostic Procedure,C0282619,,,
noc,NOC - CodeSystem,Intellectual Product,C1140150,,,
nir,NOC2L gene,Gene or Genome,C1826446,,,
nirs,NOC2L gene,Gene or Genome,C1826446,,,
ndcm,Nocardia delipidated cell mitogen,Pharmacologic Substance,C0529593,,,
nocardia sp nrrl s-836,Nocardia sp. NRRL S-836,Bacterium,C3954854,,,
nocebo,Nocebo Effect,Idea or Concept,C3658218,,,
nociception,Nociception,Organ or Tissue Function,C0234194,,,
noctiva,Noctiva,Organic Chemical|Pharmacologic Substance,C4318121,,,
nocturia,Nocturia,Disease or Syndrome,C0028734,,,
wet dream,Nocturnal emission,Finding,C0233931,,,
wet dreams,Nocturnal emission,Finding,C0233931,,,
nocturnal polyuria,Nocturnal polyuria,Sign or Symptom,C0848232,,,
nod2,NOD2 gene,Gene or Genome,C1826449,,,
nodal,nodal (pertaining to a node),Spatial Concept,C0443268,,,
spasmus nutan,Nodding spasm,Disease or Syndrome,C0546878,,,
nodular fasciitis,Nodular fasciitis,Disease or Syndrome,C0410005,,,
nodular fasciitis forearm,"Nodular fasciitis, forearm",Disease or Syndrome,C0839337,,,
nodule,Nodule,Acquired Abnormality,C0028259,,,
nodules,Nodule,Acquired Abnormality,C0028259,,,
nodules on liver,Nodule of liver,Finding,C0745761,,,
noggin,noggin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0171998,,,
noise,Noise,Phenomenon or Process,C0028263,,,
noise induced hearing loss,Noise-induced hearing loss,Injury or Poisoning,C0018781,,,
noma,Noma,Disease or Syndrome,C0028271,,,
nomegestrol acetate,nomegestrol acetate,Organic Chemical|Hormone|Pharmacologic Substance,C0132749,,,
blastula,Non - mammalian blastula,Embryonic Structure,C1136028,,,
non,NON Mouse,Mammal,C1513853,,,
non-adherent,Non-adherents,Finding,C3845923,,,
nafld,Non-alcoholic Fatty Liver Disease,Disease or Syndrome,C0400966,,,
non-alcoholic fatty liver,Non-alcoholic Fatty Liver Disease,Disease or Syndrome,C0400966,,,
non alcoholic fatty liver,Non-alcoholic Fatty Liver Disease,Disease or Syndrome,C0400966,,,
non celiac gluten sensitivity,Non-celiac gluten sensitivity,Pathologic Function,C2711053,,,
non compaction cardiomyopathy,Non-compaction cardiomyopathy,Disease or Syndrome,C4324548,,,
non dipping,Non-dipping,Disease or Syndrome,C1695689,,,
nppv,Non-invasive positive pressure (NIPPV),Therapeutic or Preventive Procedure,C1455871,,,
